Code,Model Info
E1-04-02-S,iPad 9.7 
E1-03-03-S,iPad 10.2
E1-04-03-S,iPad 10.5
E1-03-04-S,iPad 10.9/11
E1-04-04-S,iPad 2/3/4
E1-03-05-S,iPad 12.9 (2015)
E1-04-05-S,iPad 12.9 (2021/2022) 
E1-01-07-S,Samsung tab s8U 
A1-05-06-S,16PM (2-Pack)
A1-02-05-S,16+ (2-Pack)
A1-02-06-S,16P (2-Pack)
A1-06-06-S,16 (2-Pack)
A1-04-04-A-S,15PM
A1-04-04-B-S,15+
A1-04-05A-S,15P
A1-04-05B-S,15
A1-07-06-S,14/13/13P
A1-04-06A-S,14PM
A1-04-06B-S,13PM/14+
A1-07-05-S,14P
A1-01-06-S,16P
A1-02-04-S,15PM
A1-01-04-S,15P
A1-06-05-S,16PM (2-pack)
A1-07-04-S,16+ (2-pack)
A1-05-05-S,16 (2-pack)
A1-03-06-S,15+ (2-pack)
A1-06-04-S,15 (2-pack)
A1-03-04-S,14PM (2-pack)
A1-03-05-S,14P (2-pack)
A1-05-04-S,13/14 (2-pack)
A1-01-05-S,13PM/14+ (2-pack)
D00-02-01-S,S23U
D00-02-02-S,S23+
D00-03-01-S,S23
D00-03-03-S,S22U
D00-03-04-S,S22+
D00-04-01-S,S22
D00-04-02-S,S21U
D00-04-03-S,S21+
D00-04-04-S,S21
D00-05-01-S,S20U
D00-05-02-S,S20+
D00-05-03-S,S20
D00-03-02-S,N20U
E1-01-01-B-S,iP14PM
E1-01-01-A-S,iP14/13P/13
E1-01-02-A-S,iP13PM/14+
E1-01-02-B-S,iP14P
E1-01-03-A-S,iP12PM
E1-01-03-B-S,iP12
H0-01-01-S,S22U
H0-01-02-S,S22U
H0-01-03-S,S22U
H0-01-04-S,S22U
H0-01-05-S,S22U
H0-01-06-S,S22U
H0-01-07-S,S22+
H0-01-08-S,S22+
H0-02-01-S,S22+
H0-02-02-S,S22+
H0-02-03-S,S22+
H0-02-04-S,S22+
H0-02-05-S,S22
H0-02-06-S,S22
H0-02-07-S,S22
H0-02-08-S,S22
H0-03-01-S,S22
H0-03-02-S,S22
H0-03-03-S,S21U
H0-03-04-S,S21U
H0-03-05-S,S21U
H0-03-06-S,S21U
H0-03-07-S,S21U
H0-03-08-S,S21U
H0-11-01-S,S21+
H0-11-02-S,S21+
H0-11-03-S,S21+
H0-11-04-S,S21+
H0-10-07-S,S21+
H0-10-08-S,S21+
H0-10-01-S,S21
H0-10-02-S,S21
H0-10-03-S,S21
H0-10-04-S,S21
H0-10-05-S,S21
H0-10-06-S,S21
H0-04-01-S,S20U
H0-04-02-S,S20U
H0-04-03-S,S20U
H0-04-04-S,S20U
H0-04-05-S,S20U
H0-04-06-S,S20U
H0-04-07-S,S20+
H0-04-08-S,S20+
H0-05-01-S,S20+
H0-05-02-S,S20+
H0-05-03-S,S20+
H0-05-04-S,S20+
H0-05-05-S,S20
H0-05-06-S,S20
H0-05-07-S,S20
H0-05-08-S,S20
H0-06-01-S,S20
H0-06-02-S,S20
H0-06-03-S,S10+
H0-06-04-S,S10+
H0-06-05-S,S10+
H0-06-06-S,S10+
H0-06-07-S,S10+
H0-06-08-S,S10+
H0-11-06-S,S10
H0-11-07-S,S10
H0-11-08-S,S10
H0-07-01-S,N20
H0-07-02-S,N20 
H0-07-03-S,N20
H0-07-04-S,N20
H0-07-05-S,N20
H0-07-06-S,N20
H0-07-07-S,N20U
H0-07-08-S,N20U
H0-08-01-S,N20U
H0-08-02-S,N20U
H0-08-03-S,N20U
H0-08-04-S,N20U
H0-08-05-S,N10+
H0-08-06-S,N10+
H0-08-07-S,N10+
H0-08-08-S,N10+
H0-09-01-S,N10+
H0-09-02-S,N10+
H0-09-03-S,N10
H0-09-04-S,N10 
H0-09-05-S,N10
H0-09-06-S,N10
H0-09-07-S,N10
H0-09-08-S,N10
D1-00-00-A-S,S22U
D1-00-00-B-S,S22U
D1-00-01-A-S,S22U
D1-00-01-B-S,S22U
D1-00-02-A-S,S22+
D1-00-02-B-S,S22+
D1-00-03-A-S,S22+
D1-00-03-B-S,S22+
D1-00-04-A-S,S22
D1-00-04-B-S,S22
D1-00-05-A-S,S22
D1-00-05-B-S,S22
D1-04-06-A-S,S21U
D1-04-06-B-S,S21U
D1-03-06-A-S,S21+
D1-03-06-B-S,S21+
D1-00-06-A-S,S21FE
D1-00-06-B-S,S21FE
D1-00-07-A-S,S21FE
D1-00-07-B-S,S21FE
D1-02-01-A-S,S20U
D1-02-01-B-S,S20U
D1-01-02-A-S,S20
D1-01-02-B-S,S20
